GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
roman-number,it.unipd.mtss,Stampa_Romano,153,64,6,4,43,15,7,4,1,2
roman-number,it.unipd.mtss,Intero_Romano,3,183,0,4,1,7,1,3,1,1
